seg_id,env,source_file,gesture_name,label,duration_ms,npy_path,MAV_CH1,MAV_CH3,MAV_CH5,WL_CH1,WL_CH3,WL_CH5,Ratio_CH1,Ratio_CH3,Ratio_CH5
uv_radiation_4_seg003,uv_radiation,4.csv,4,3,1039.0,processed/segments/uv_radiation/4_seg003.npy,0.0716293468101724,0.01713423437086057,0.05995428414836753,56.397555580418,15.059193559838667,55.16102189321939,0.41879756296137216,0.12311170900450709,0.45809072803412076
uv_radiation_4_seg004,uv_radiation,4.csv,4,3,737.0,processed/segments/uv_radiation/4_seg004.npy,0.11250935570465617,0.026341197883081265,0.09540029185058961,92.57445941247781,22.336897985102667,88.75834667191593,0.447762744964043,0.1195446189717802,0.4326926360641769
uv_radiation_4_seg005,uv_radiation,4.csv,4,3,1353.0,processed/segments/uv_radiation/4_seg005.npy,0.10199636244058086,0.017908451773172525,0.058961006207768805,79.76302242431743,16.127218664124747,55.96161848779393,0.5180980858388261,0.11375844621243081,0.36814346794874303
uv_radiation_5_seg000,uv_radiation,5.csv,5,4,362.0,processed/segments/uv_radiation/5_seg000.npy,0.11856048242819507,0.028246166245004256,0.09477411773837838,98.41712951018788,24.941473365807724,92.32964931133208,0.47742659047153163,0.12007054132223322,0.4025028682062351
uv_radiation_5_seg001,uv_radiation,5.csv,5,4,620.0,processed/segments/uv_radiation/5_seg001.npy,0.111965918724992,0.03243130104238511,0.09080899094532052,90.27784063198263,28.207744926964548,91.35534947342109,0.45807711584402644,0.14435298171201716,0.3975699024439565
uv_radiation_5_seg002,uv_radiation,5.csv,5,4,741.0,processed/segments/uv_radiation/5_seg002.npy,0.138362605442736,0.0343549990910325,0.10618904348161257,121.76948590107524,29.371062826298438,108.20668862080792,0.47893058982218334,0.13093938726382565,0.390130022913991
uv_radiation_5_seg003,uv_radiation,5.csv,5,4,828.0,processed/segments/uv_radiation/5_seg003.npy,0.10973787624545604,0.03095638048657435,0.09054979696235758,94.13526349800453,24.93198641886411,89.79260311417045,0.4393341837713251,0.14243084515100637,0.4182349710776685
uv_radiation_5_seg004,uv_radiation,5.csv,5,4,801.0,processed/segments/uv_radiation/5_seg004.npy,0.15978138342589276,0.027508983627957465,0.0908219017093093,139.5598298504378,24.74820042872009,90.0513790246969,0.5647162012592343,0.10186038732057343,0.3334234114201923
uv_radiation_5_seg005,uv_radiation,5.csv,5,4,673.0,processed/segments/uv_radiation/5_seg005.npy,0.12737371573822304,0.022454073285009965,0.08737917579312998,117.06533893934784,19.648750882091353,82.9614621150732,0.5301429416372127,0.09840399116301032,0.37145306719977694
uv_radiation_5_seg006,uv_radiation,5.csv,5,4,927.0,processed/segments/uv_radiation/5_seg006.npy,0.13088998457041326,0.023279244803800427,0.09102094152271276,110.54986780885353,20.797414559851777,89.74709137383002,0.4994056764017755,0.10451970224592538,0.396074621352299
uv_radiation_go_the_way_seg000,uv_radiation,go_the_way.csv,go_the_way,5,25.0,processed/segments/uv_radiation/go_the_way_seg000.npy,0.15678285391631658,0.02860406028035669,0.1089875002245758,108.96196594466363,22.56400557351257,96.57359239174264,0.5221897759343876,0.09810061654721759,0.3797096075183949
uv_radiation_go_the_way_seg001,uv_radiation,go_the_way.csv,go_the_way,5,699.0,processed/segments/uv_radiation/go_the_way_seg001.npy,0.1618399988547883,0.020335899751070505,0.08527985160739336,112.7900573713159,19.816952121450065,87.56661134426126,0.5755163886034502,0.0812743484909675,0.3432092629055823
uv_radiation_go_the_way_seg002,uv_radiation,go_the_way.csv,go_the_way,5,709.0,processed/segments/uv_radiation/go_the_way_seg002.npy,0.15527095690694764,0.01910587942086196,0.08575286865258935,119.6137567453345,19.13960708384766,86.48681996306337,0.5721075790251988,0.07845898291661726,0.34943343805818394
uv_radiation_go_the_way_seg003,uv_radiation,go_the_way.csv,go_the_way,5,169.0,processed/segments/uv_radiation/go_the_way_seg003.npy,0.17226746365377427,0.023503687765896817,0.10289524435103367,129.6468341577119,22.65387396356281,109.94357299152684,0.5540196506137108,0.07967221325556233,0.3663081361307269
uv_radiation_go_the_way_seg004,uv_radiation,go_the_way.csv,go_the_way,5,327.0,processed/segments/uv_radiation/go_the_way_seg004.npy,0.153330031980791,0.02767415724363677,0.056953745381667406,110.06652934582252,23.699468635730437,50.90679375070446,0.6151932521382972,0.13375415816338276,0.25105258969832017
uv_radiation_go_the_way_seg005,uv_radiation,go_the_way.csv,go_the_way,5,833.0,processed/segments/uv_radiation/go_the_way_seg005.npy,0.15079100109087734,0.01990216755834207,0.09744547227748339,108.68122309246795,17.8471654994925,93.13515204886511,0.5351364483159451,0.07685438203106111,0.3880091696529937
uv_radiation_go_the_way_seg006,uv_radiation,go_the_way.csv,go_the_way,5,865.0,processed/segments/uv_radiation/go_the_way_seg006.npy,0.044680440856882914,0.016309020661971096,0.07070223492120888,26.043073777518643,15.245164136402167,69.5916419894213,0.42328633980805463,0.1073364326593985,0.46937722753254685
uv_radiation_ok_seg000,uv_radiation,ok.csv,ok,6,541.0,processed/segments/uv_radiation/ok_seg000.npy,0.12863783912338583,0.022184232737380648,0.09273992485837641,93.35618192495296,18.408369698144078,87.0717461403726,0.49836139728417067,0.09498859547612985,0.4066500072396994
